Unnamed: 0,User,Date,Tweets
0,BBCTech,24-10-19,RBS pulls Samsung Galaxy S10 app over security flaw 
1,BBCTech,17-10-19,Any fingerprint unlocks Galaxy S10 Samsung warns 
2,BBCTech,05-09-19,Samsung Galaxy Fold UK launch date revealed 
3,BBCTech,07-08-19,Galaxy Note 10 Samsung hopes to strike the right Note 
4,BBCTech,25-07-19,RT  Samsung says the Galaxy Fold will go on sale in September after faulty screens delayed the launch 
5,BBCTech,04-07-19,Samsung sued over waterresistant phone claims 
6,BBCTech,17-06-19,Samsung TVs should be regularly viruschecked the company says 
7,BBCTech,30-04-19,Samsung unveils TV that can switch to vertical mode 
8,BBCTech,22-04-19,Samsung Galaxy Fold launch events delayed in China 
9,BBCTech,17-04-19,Samsungs folding phone breaks for reviewers 
10,BBCTech,16-04-19,RT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold 
11,BBCTech,24-02-19,RT  Our folding phone is bigger and better than Samsungs says Huawei 
12,BBCTech,21-02-19,Samsung on whether you can end calls on the GalaxyFold by snapping it shut like the old flip phones 
13,BBCTech,21-02-19,RT  Important can I answer calls with the phone unfolded and then hang up by snapping it shut   Samsung
14,BBCTech,20-02-19,Samsung Galaxy Fold The internet reacts 
15,BBCTech,20-02-19,Samsung reveals Galaxy Fold and S10 5G 
16,BBCTech,08-01-19,CES 2019 Samsung adds rival Apples iTunes to smart TVs 
17,BBCTech,07-01-19,RT  Samsung has revealed a 75in 190cm television made of modular panels you can rearrange  CES2019 
18,BBCTech,10-12-18,Huawei Honor View20 and Samsung A8s have holepunch cameras 
19,BBCTech,03-12-18,Samsung Nigeria tweets update using Apple iPhone 
20,BBCTech,23-11-18,Samsung apologises to sick factory workers 
21,BBCTech,07-11-18,RT  After 5 years of talking about folding devices Samsung unveiled theirs at SDC18 
22,BBCTech,01-11-18,Samsung agrees to payouts after worker deaths 
23,BBCTech,24-10-18,Apple and Samsung fined by Italian authorities over slow phones 
24,BBCTech,05-09-18,Samsung Time for folding smartphones 
25,BBCTech,09-08-18,Samsung Galaxy Note 9 warns of wonky photos 
26,BBCTech,31-07-18,Why is Samsungs Galaxy S9 flagship struggling 
27,BBCTech,31-05-18,Samsung wont be forced to update old phones 
28,BBCTech,25-05-18,Apple awarded 539m in US patent case against Samsung 
29,BBCTech,14-05-18,AppleSamsung patent battle revived in California court 
30,BBCTech,25-02-18,Samsung Galaxy S9 gets super slowmo and AR emojis 
31,BBCTech,25-02-18,Samsung Galaxy S9 focuses on the camera 
32,BBCTech,21-02-18,Samsung Galaxy S9 smartphone images leaked by MWC app 
48,BBCTech,21-02-18,Guardians of the Galaxy Vol 2 Visual effects revealed 
0,droid_life,30-10-19,Samsung One UI 2 Gets an Official Reveal With Smarter Dark Mode More
1,droid_life,29-10-19,Samsung Unveils Another Smart Speaker That May Never Launch
2,droid_life,29-10-19,Samsung Showcases Foldable Phone Concept With Clamshell Design
3,droid_life,24-10-19,Pixel 4 XL Teardown Reveals Samsung Display Almost Decent Repairability Score
4,droid_life,18-10-19,Samsung Issues Statement on Fingerprint Vulnerability Software Update is Coming
5,droid_life,14-10-19,Samsung Galaxy S10 owners any luck enrolling in the Android 10One UI 20 beta yet The Samsung Members app appears to be having issues
6,droid_life,14-10-19,Samsung One UI Beta for Android 10 Arrives Today in US on Galaxy S10 Line
7,droid_life,11-10-19,DEAL Samsung Offers 500 Off Galaxy Note 10 With Select TradeIn Throwing in Free 200 Credit or Wearable Bundle 
8,droid_life,09-10-19,Samsung confirms Unlocked ATampT and TMobile Galaxy S10 S10 and S10e models will have first dibs at the Android 
9,droid_life,08-10-19,Samsung Confirms One UI 20 Coming Soon to Galaxy S10 Lineup
10,droid_life,03-10-19,Samsung Pay Gets International Money Transfers
11,droid_life,27-09-19,Lets unbox Samsungs 1980 Galaxy Fold galaxyfold 
12,droid_life,17-09-19,Report Samsung Launching Android 10 Beta Next Month
13,droid_life,09-09-19,Samsung Says Hundreds of Apps Now Optimized for Galaxy Fold galaxyfold 
14,droid_life,06-09-19,  what are the samsung issues as for iphone vs p4 we wont have any good idea until next m 
15,droid_life,05-09-19,Samsung Finally Cancels Original Galaxy Fold PreOrders Offers 250 Credit galaxyfold 
16,droid_life,05-09-19,Samsungs Galaxy Fold is Back Available for Purchase This Month galaxyfold 
17,droid_life,04-09-19,Discord Integration Arrives for Samsungs Game Launcher App
18,droid_life,28-08-19,Samsung Galaxy Note 10 Review It Doesnt Get Much Better Than This
19,droid_life,28-08-19,Samsung still offering 600 off Galaxy Note 10 purchases with eligible tradeins 
20,droid_life,27-08-19,Samsung Keeps Note 10s 600Off Trade Deal Alive Adds 4 Months Free YouTube Premium GalaxyNote10 
21,droid_life,24-08-19,Windows and Mac apps for Samsungs DeX arrive 
22,droid_life,24-08-19,If you own a Samsung Galaxy phone on Verizon youre likely getting the August patch right now
23,droid_life,23-08-19,Windows and Mac Apps for Samsungs DeX are Live 
24,droid_life,23-08-19,Video Appears to Show Off Samsungs One UI 20 Running Atop Android 10
25,droid_life,22-08-19,Samsung is so weird sometimes
26,droid_life,21-08-19,Samsung Wins Today With Their Green Bubble GIFs
27,droid_life,13-08-19,Samsung Said to be Readying Graphene Batteries Capable of Insanely Fast Charge Times
28,droid_life,12-08-19,Samsung Still Cutting 600 Off Note 10 With Select TradeIns Ups Galaxy S9 Value to 350 galaxynote10 
29,droid_life,09-08-19,Samsungs Galaxy Home smart speaker is still in development a year after being announced 
30,droid_life,08-08-19,Samsung Still Working to Refine and Enhance BixbyPowered Galaxy Home Speaker
31,droid_life,07-08-19,Samsung Galaxy Note 10 and Note 10 Official PreOrders Start Tomorrow for 949
32,droid_life,07-08-19,Samsung Galaxy Note 10 Galaxy Note 10 Specs Official galaxynote10 
33,droid_life,06-08-19,Samsungs Galaxy Watch Active 2 is now official launches next month 
34,droid_life,05-08-19,Samsung Galaxy Watch Active 2 Official Priced Starting at 279 With PreOrders in September
35,droid_life,03-08-19,Samsung is watering down the Note line with the Galaxy Note 10
36,droid_life,02-08-19,Samsung is Watering Down the Note Line for No Good Reason
37,droid_life,01-08-19,Samsung has a new 650 tablet for those interested in Android tablets
38,droid_life,31-07-19,Samsungs Galaxy Tab S6 is a 649 Tablet in a World Without Many Android Tablets
39,droid_life,30-07-19,Samsung to Announce Galaxy Tab S6 Watch Active 2 Prior to Note 10 Event
40,droid_life,26-07-19,Samsung offers upto 600 off Note 10 with specific trades 
41,droid_life,25-07-19,Official Samsungs Galaxy Fold is ReLaunching in September galaxyfold 
42,droid_life,23-07-19,Samsungs Galaxy Watch Active Gets a Big Ol Update
43,droid_life,23-07-19, nothing is confirmed samsung hasnt yet announced if the phone will indeed feature a battery 
44,droid_life,18-07-19, the 12GB packages combining eight of the 12Gb chips arent yet in mass production Samsung says later t 
45,droid_life,18-07-19,Samsung Readying 12Gb LPDDR5 Mobile DRAM for Galaxy Note 10
46,droid_life,10-07-19,Pujie Black Available for Samsung Galaxy Wearables
47,droid_life,02-07-19,Samsungs Galaxy Fold was pushed out too early guys galaxyfold 
48,droid_life,01-07-19,Samsung is offering really solid tradein values for older phones like 350 for the Galaxy S8
49,droid_life,01-07-19,This Might Shock You but the Samsung Galaxy Fold was Rushed galaxyfold 
50,droid_life,01-07-19,DEAL Samsung Goes Wild With Trades Toward Galaxy S10 350Off for a Galaxy S8 galaxys10 
51,droid_life,24-06-19,Verizon TMobile Samsung and LG Devices Getting Security Patches
52,droid_life,19-06-19,Samsung irons out most Galaxy Fold issues is ready to release it to market 
53,droid_life,19-06-19,Samsung Most Galaxy Fold Display Issues Ironed Out Ready for Launch
54,droid_life,15-06-19,DEAL Samsung Galaxy Buds are 9999 at Verizon 30 Off
55,droid_life,14-06-19,Samsung Galaxy Fit Activity Tracker Now Available for 99
56,droid_life,05-06-19,Samsung celebrates 10th anniversary of Galaxy with deals and promos 
57,droid_life,04-06-19,Samsung Galaxy Home Launch Still Happening Scheduled for Q3
58,droid_life,04-06-19,Today is Galaxy Day MonthLong Celebration With Deals and Promos From Samsung
59,droid_life,29-05-19,Samsung has plans for 100W USBC chargers 
60,droid_life,28-05-19,Samsung has Plans for 100W USBC Chargers
61,droid_life,27-05-19,Samsung Loves Its Hole Punches Shares Free DisneyPixar Wallpapers for Galaxy S10 galaxys10 
62,droid_life,24-05-19,DEAL Samsungs Fast Wireless Charger is 50 Off Down to 1499
63,droid_life,24-05-19,With Still No Word From Samsung Best Buy Cancels All Galaxy Fold PreOrders
64,droid_life,21-05-19,We Hope Samsungs New 5x Optical Zoom Lens Ships With the Galaxy Note 10
65,droid_life,20-05-19,One UI update rolling out to Samsungs wearable lineup starting this week 
66,droid_life,20-05-19,Samsung Announces One UI for Wearable Lineup Highlights Better Battery and Cleaner UI
67,droid_life,13-05-19,Upcoming Phone Designs From OPPO Samsung and Huawei Might Get Weird
68,droid_life,10-05-19,Samsung ups its tradein offer to 400 off a Galaxy S10 
69,droid_life,09-05-19,Samsung Galaxy Fold supposedly ready to make a comeback 
70,droid_life,09-05-19,DEAL Samsung Ups Tradein Offer to 400 Off Galaxy S10 galaxys10 
71,droid_life,09-05-19,Samsungs Galaxy Fold is Ready to Return galaxyfold 
72,droid_life,07-05-19,Samsung is Still Trying to Fix the Galaxy Fold Asks if People Want to Keep PreOrders galaxyfold 
73,droid_life,06-05-19,DEAL Samsung Gear S3 Frontier Drops to 109 With 90 Discount
74,droid_life,03-05-19,Samsung Pay support comes to Simple Bank 
75,droid_life,02-05-19,Simple Bank Finally Finally Adds Support for Samsung Pay
76,droid_life,30-04-19,DEAL Samsung Will Still Give You 200 Off the Galaxy S10 for Trading in Any Smartphone galaxys10 
77,droid_life,23-04-19,Samsungs Galaxy View 2 looks pretty good when compared to the original 
78,droid_life,23-04-19,Samsung officially delays launch of the Galaxy Fold 
79,droid_life,22-04-19,Samsung Galaxy View 2 Looks Way Better Than the Original
80,droid_life,22-04-19,Samsung confirms Galaxy Fold delay as it investigates and runs internal tests 
81,droid_life,22-04-19,Samsung Might Have Delayed the Galaxy Fold galaxyfold 
82,droid_life,19-04-19,DEAL Samsung Offering Instant 300 Off Galaxy S10 With Trade galaxys10 
83,droid_life,18-04-19,Samsung Spins Bright Night Camera Feature Into Standalone Mode
84,droid_life,16-04-19,Samsung Quickly Sold Out of the 2000 Galaxy Fold galaxyfold 
85,droid_life,16-04-19,Samsungs Galaxy Fold has support for all major US carrier bands 
86,droid_life,15-04-19,Samsungs Galaxy Fold has Support for All Major US Carriers Bands galaxyfold 
87,droid_life,13-04-19,How has your experience been with Samsungs tradein program 
88,droid_life,12-04-19,Hows Your Experience Been With Samsungs TradeIn Program galaxys10 
89,droid_life,11-04-19,Invitations to purchase Samsungs 1980 Galaxy Fold apparently roll out tomorrow 
90,droid_life,11-04-19,Samsung Says You Should SignUp Today to be First in Line to Purchase Galaxy Fold galaxyfold 
91,droid_life,10-04-19,Samsung Galaxy A80 Trades Notches and Cutouts for PopUp Flippy Camera
92,droid_life,09-04-19,DEAL Need More Storage Get a Samsung 128GB MicroSD for 20
93,droid_life,02-04-19,DEAL Samsung Will Give You 200 TradeIn Value Towards Galaxy S10 for Any Android Device Even If Its Cracked
94,droid_life,28-03-19,Samsung shows the Galaxy Fold can fold a lot of times 
95,droid_life,22-03-19,Samsungs 550 Off TradeIn Galaxy S10 Deal is Still Live Plus BOGO ATampT and Verizon galaxys10 
96,droid_life,22-03-19,DEAL Samsung Wireless Charging Pad is 15 10000mAh Fast Battery Pack is 16 galaxys10 
97,droid_life,20-03-19,Poll Do Your Own a Google Samsung or OnePlus Phone
98,droid_life,19-03-19,Heres the 2000 ATampT Samsung Galaxy Fold Being Fondled galaxyfold 
99,droid_life,16-03-19,Samsung still offering up to 550 in tradein credit towards the purchase of a Galaxy S10 
100,droid_life,15-03-19,You Still Have Time to Take Advantage of Samsungs 550 Tradein Offer for the Galaxy S10
101,droid_life,15-03-19,Samsung Galaxy S10e Review Yo This is the Phone galaxys10e 
102,droid_life,14-03-19,Samsung Galaxy S10 Review Mostly Excellence Slight Disappointment
103,droid_life,08-03-19,DEAL Samsungs Excellent Galaxy Buds 25 Off at ATampT
104,droid_life,08-03-19,Time probably running out to take advantage of Samsungs really good tradein offer 
105,droid_life,08-03-19,Samsungs Good Lock app gets updated to work with Android Pie 
106,droid_life,07-03-19,Samsungs Good Lock App Updated to Work With Android Pie
107,droid_life,06-03-19,Report Your Samsung Galaxy Depreciates at Alarming Rate 42 in Month One
108,droid_life,06-03-19,Samsung is Folding Sht in All the Directions
109,droid_life,05-03-19, samsung tho lol
110,droid_life,28-02-19,Samsung Now Lets You Remap Bixby Button Just Not to Google Assistant
111,droid_life,27-02-19,Buying the Galaxy Fold will be unlike most Samsung products 
112,droid_life,25-02-19,Everyone see Samsungs new Galaxy Fold video It shows a lot of the device in action
113,droid_life,25-02-19,Samsung Releases the Galaxy Fold HandsOn Video You Wanted galaxyfold 
114,droid_life,20-02-19,Samsung Announces Galaxy S10 Family Starting at 900 galaxys10 
115,droid_life,20-02-19,Samsung Announces New Galaxy Watch Active Galaxy Fit and Galaxy Buds
116,droid_life,20-02-19,Official Specs Samsung Galaxy S10 S10 S10 5G and S10e galaxys10 
117,droid_life,20-02-19,Here is the Samsung Galaxy Fold galaxyfold 
118,droid_life,20-02-19,Watch Samsungs Galaxy S10 Galaxy Fold Event Live at 11AM Pacific
119,droid_life,19-02-19,Samsung Galaxy Fold Samsung Galaxy Fold
120,droid_life,19-02-19,And Heres a Samsung Galaxy S10 Promo Video Leak 
121,droid_life,19-02-19,Samsungs Internet browser gets a big One UI update
122,droid_life,18-02-19,Samsung Internet Gets One UI Makeover Complete With Dark Mode Support
123,droid_life,16-02-19,DEAL 300 Off Unlocked Samsung Galaxy Note 9 Today With Code galaxynote9 
124,droid_life,15-02-19,Samsung Outs Its Entire New Galaxy Wearable Line Early
125,droid_life,13-02-19,You can already reserve your Galaxy S10 from Samsung 
126,droid_life,12-02-19,Samsungs Galaxy S10 Arrives March 8 Get Up to 550 Off With Trade if You Reserve Now
127,droid_life,12-02-19,Samsung keeps teasing the fold 
128,droid_life,11-02-19,What Exactly is Samsung Trying to Tease Here
129,droid_life,09-02-19,A Fresh Clean HighRes Look at Samsungs Galaxy S10 and Galaxy S10e
130,droid_life,07-02-19,Verizon Valentines Deals Arent Awful 300 Off Pixel 3 BOGO Samsung deals 
131,droid_life,04-02-19,Samsung and fake Supreme are no longer working together
132,droid_life,02-02-19,Samsung Galaxy S10 Galaxy S10 Stop by the FCC galaxys10 
133,droid_life,01-02-19,DEAL Samsung Galaxy Note 9 S9 and S9 are 150 Off deals 
134,droid_life,01-02-19,Samsung brings out the cool concepts shows off foldable phone too
135,droid_life,01-02-19,Samsung pulled that concept video but we grabbed some extra screenshots from it
136,droid_life,31-01-19,Samsung Teases Foldable Phone in Futuristic Concept Video
137,droid_life,31-01-19,Samsung Galaxy Buds reported to launch with the Galaxy S10 
138,droid_life,30-01-19,Samsung Just Made a 1TB UFS 21 Chip for Smartphones Probably the Galaxy S10 galaxys10  
139,droid_life,30-01-19,Samsungs doing a bit better of a job at updating 
140,droid_life,29-01-19,Hey Samsung Better Job With Pie Updates so Far
141,droid_life,29-01-19,Samsung Galaxy S9 Gets Android Pie One UI Update on First US Carrier galaxys9 
142,droid_life,25-01-19,No bueno Samsung
143,droid_life,24-01-19,This is Bad Samsung
144,droid_life,22-01-19,Jesus Finally Target Will Soon Accept Google Pay Samsung Pay
145,droid_life,14-01-19,Heres Everything We Know About Samsungs GalaxyS10 so Far
146,droid_life,14-01-19,Samsungs 5G Galaxy S10 Might Add an X to Its Name Go Nuts With Specs galaxys10 
147,droid_life,11-01-19,DEAL Samsung Galaxy Note 9 S9 S9 All 200 Off With Up to 300 Off in Trades deals 
148,droid_life,11-01-19,There has been a ton of different Galaxy phones from Samsung over the years Which one stands out the most to you
149,droid_life,11-01-19,Well also see a fully functional foldable from Samsung on February 20 
150,droid_life,10-01-19,10 Years of Samsung Galaxy S Phones Which Stands Out the Most galaxys10 
151,droid_life,10-01-19,Fully Functional Foldable From Samsung Coming on February 20 Too
152,droid_life,10-01-19,Samsung is Announcing the Galaxy S10 on February 20 galaxys10 
153,droid_life,07-01-19,Sprints Samsung 5G Phone is Coming This Summer sprint ces2019 
154,droid_life,04-01-19,Samsung its time to move on from the curved display
155,droid_life,03-01-19,I Just Need Samsung to Ditch the Curved Display Now galaxys10 
156,droid_life,03-01-19,Samsung has another Pie roadmap with Galaxy Note 9 and Note 8 bumped up a month 
157,droid_life,02-01-19,Samsung Provides Different Pie Update Roadmap Galaxy Note 9 and Note 8 Bumped Up a Month
158,droid_life,26-12-18,Samsungs Pie Update Roadmap Wont Make You Envious of Galaxy Owners
159,droid_life,21-12-18,Samsung is Coming for Googles Night Sight Camera Magic
160,droid_life,21-12-18,Report Google Assistant Launching on 2019 Samsung Smart TV Lineup
161,droid_life,19-12-18,DEAL Samsung 10000mAh Fast Charge Battery Pack is 1599 19 Off deals 
162,droid_life,19-12-18,Verizon Updates Samsung Galaxy S7 S7 Edge LG V30
163,droid_life,12-12-18,Samsung is now reevaluating its partnership with fake Supreme
164,droid_life,12-12-18,DEAL Samsung Drops 300 Off Carrier Galaxy Note 9 250 Off Galaxy S9 galaxynote9 
165,droid_life,11-12-18,Did Samsung just partner with a knockoff Supreme label to sell stuff in China Yes 
166,droid_life,10-12-18,Samsung Embarrassingly Partners With Fake Supreme 
167,droid_life,10-12-18,Samsung Galaxy A8s With Infinity O Display Official for China
168,droid_life,05-12-18,ATampT Announces Another Samsung 5G Device With Better Connectivity 5g 
169,droid_life,05-12-18,ATampT says it will carry Samsungs 5G smartphone in early 2019 
170,droid_life,04-12-18,ATampT Will Also Carry Samsungs 5G Phone Next Year
171,droid_life,04-12-18,Verizon and Samsung launching 5G phone in first half of 2019 
172,droid_life,03-12-18,DEAL Samsung Wireless Charger Duo for Just 50 on Amazon 70 Off
173,droid_life,03-12-18,Verizon and Samsung Launching 5G Phone in First Half of 2019 Proof of Concept Coming This Week
174,droid_life,30-11-18,DEAL Verizon Galaxy Note 9 300 Off Today Only From Samsung GalaxyNote9 
175,droid_life,29-11-18,Samsungs 12 Days of Deals is Here Save on TVs Phones and Get Free Stuff 
176,droid_life,29-11-18,TMobile is giving away Samsung 50 4K TVs in new deal
177,droid_life,29-11-18,Samsung One UI Gets Updated Loads of Bug Fixes Inside
178,droid_life,28-11-18,Buy a Samsung Galaxy on TMobile Get Free 50 4K Smart TV
179,droid_life,28-11-18,Huawei Beats Samsung to Full Display With Camera Cutout Hole 
180,droid_life,28-11-18,Looks like Project Fi will soon support Samsung OnePlus and iPhone devices 
181,droid_life,26-11-18,Verizon Samsung Galaxy Devices LG V40 ThinQ Receive Security Patch Updates
182,droid_life,25-11-18,Samsung Cyber Monday Deals are Live CyberMondayDeals 
183,droid_life,23-11-18,Black Friday 2018 Best Google and Samsung Phone Deals BlackFriday2018 
184,droid_life,22-11-18,Dont sleep on Samsungs BlackFridayDeals
185,droid_life,20-11-18,Samsung microSD cards are so cheap right now
186,droid_life,20-11-18,Amazon matches Samsungs big BlackFridayWeek 200 off sale on Note 9 S9 and S9
187,droid_life,19-11-18,Samsung EVO Select MicroSD Cards are Stupid Cheap Right Now 128GB for 1999 BlackFridayWeek 
188,droid_life,19-11-18,DEAL Amazon Matches Samsungs 200 Off Galaxy S9 S9 and Note 9 Deal BlackFriday2018 
189,droid_life,18-11-18,Samsungs BlackFriday2018 deals are here with up to 300 off Note 9 S9
190,droid_life,18-11-18,Samsung Black Friday Deals Now Live Up to 300 Off Galaxy Note 9 S9 and S9 BlackFriday2018 
191,droid_life,16-11-18,Video Tour of Samsungs new One UI on a Galaxy S9 galaxys9 
192,droid_life,16-11-18,Samsungs One UI Beta with Android Pie goes live for Galaxy S9 S9
193,droid_life,16-11-18,Samsung is going to annoy you over use of free themes
194,droid_life,15-11-18,Video First Look at Samsung One UI Beta on Galaxy S9 galaxys9 
195,droid_life,15-11-18,Samsung One UI and Pie Beta Program Now Live in the US for S9 galaxys9 
196,droid_life,15-11-18,Samsung Doesnt Want You Using Free Themes Anymore
197,droid_life,14-11-18,Samsung might skip the notch on Galaxy S10 and go with InfinityO
198,droid_life,09-11-18,DEAL Verizon Galaxy S9 Note 9 are 100 Off From Samsung With 300 Bonus Bundle galaxynote9 
199,droid_life,08-11-18,Here are some display specs for Samsungs foldable Infinity Flex display
200,droid_life,08-11-18,Heres a pretty Samsung One UI wallpaper for you
201,droid_life,08-11-18,A photo tour of Samsungs new One UI
202,droid_life,08-11-18,Samsung has notched displays in the works You OK Samsung fans
203,droid_life,08-11-18,Samsungs new One UI looks pretty is ready for Galaxy S9 and Note 9 beta testers
204,droid_life,08-11-18,And here is Samsungs first foldable display phone
205,droid_life,07-11-18,Samsung Revealed Infinity Flex Display Specs for Its Foldable Phone
206,droid_life,07-11-18,You Know You Want That Wallpaper From Samsungs One UI
207,droid_life,07-11-18,Heres a Photo Tour of Samsungs One UI
